Ticker,Name,Sector,Industry
NASB,"NASB Financial, Inc.",Financial,Savings & Loans
NATI,National Instruments Corporation,Technology,Technical & System Software
NATL,National Interstate Corporation,Financial,Property & Casualty Insurance
NATH,Nathan's Famous Inc.,Services,Restaurants
NATR,Nature's Sunshine Products Inc.,Healthcare,Drugs - Generic
NAV,Navistar International Corporation,Consumer Goods,Trucks & Other Vehicles
NAVB,"Navidea Biopharmaceuticals, Inc",Healthcare,Medical Appliances & Equipment
NAVG,Navigators Group Inc.,Financial,Property & Casualty Insurance
NBBC,NewBridge Bancorp,Financial,Regional - Mid-Atlantic Banks
NBIX,Neurocrine Biosciences Inc.,Healthcare,Drugs - Generic
NBTB,"NBT Bancorp, Inc.",Financial,Regional - Northeast Banks
NC,Nacco Industries Inc.,Conglomerates,Conglomerates
NBTF,,Financial,Regional - Southeast Banks
NCBC,New Century Bancorp Inc.,Financial,Regional - Mid-Atlantic Banks
NCI,Navigant Consulting Inc.,Services,Management Services
NBCB,First NBC Bank Holding Company,Financial,Foreign Regional Banks
NCIT,"NCI, Inc.",Technology,Information Technology Services
NCLH,Norwegian Cruise Line Holdings Ltd.,,
NCMI,"National CineMedia, Inc.",Services,Marketing Services
NCQ,NovaCopper Inc.,Basic Materials,Industrial Metals & Minerals
NCR,NCR Corp.,Technology,Information Technology Services
NCT,Newcastle Investment Corp.,Financial,REIT - Diversified
NCS,NCI Building Systems Inc.,Industrial Goods,General Building Materials
NDAQ,"The Nasdaq OMX Group, Inc.",Financial,Diversified Investments
NDSN,Nordson Corporation,Industrial Goods,Diversified Machinery
NE,Noble Corp.,Basic Materials,Oil & Gas Drilling & Exploration
NECB,"Northeast Community Bancorp, Inc.",Financial,Savings & Loans
NEE,"NextEra Energy, Inc.",Utilities,Electric Utilities
NEM,Newmont Mining Corporation,Basic Materials,Gold
NEN,New England Realty Associates LP,Financial,Real Estate Development
NEO,Neogenomics Inc.,Healthcare,Medical Laboratories & Research
NEOG,Neogen Corp.,Healthcare,Diagnostic Substances
NEON,"Neonode, Inc.",Technology,Diversified Electronics
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management
NEU,NewMarket Corporation,Basic Materials,Specialty Chemicals
NEWN,New Energy Systems Group,Technology,Diversified Electronics
NEWP,Newport Corp.,Services,Industrial Equipment Wholesale
NEWS,"NewStar Financial, Inc.",Financial,Credit Services
NEWT,Newtek Business Services Inc.,Services,Business Services
NFEC,NF Energy Saving Corp.,Industrial Goods,Industrial Equipment & Components
NFG,National Fuel Gas Company,Basic Materials,Independent Oil & Gas
NFLX,"Netflix, Inc.",Services,CATV Systems
NFSB,Newport Bancorp Inc.,,
NFX,Newfield Exploration Co.,Basic Materials,Independent Oil & Gas
NGL,NGL Energy Partners LP,Basic Materials,Oil & Gas Refining & Marketing
NGLS,Targa Resources Partners LP,Basic Materials,Oil & Gas Pipelines
NGS,Natural Gas Services Group Inc.,Basic Materials,Oil & Gas Equipment & Services
NGSX,"NeurogesX, Inc.",Healthcare,Drug Manufacturers - Other
NHC,National Healthcare Corp.,Healthcare,Long-Term Care Facilities
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",Services,Grocery Stores
NHTB,New Hampshire Thrift Bancshares Inc.,Financial,Savings & Loans
NHI,National Health Investors Inc.,Financial,REIT - Healthcare Facilities
NICK,Nicholas Financial Inc.,Financial,Credit Services
NIHD,NII Holdings Inc.,Technology,Wireless Communications
NI,NiSource Inc.,Utilities,Diversified Utilities
NILE,Blue Nile Inc.,Services,Jewelry Stores
NJR,New Jersey Resources Corp.,Utilities,Gas Utilities
NKA,Niska Gas Storage Partners LLC,Utilities,Gas Utilities
NKE,"Nike, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories
NKSH,National Bankshares Inc.,Financial,Regional - Mid-Atlantic Banks
NKTR,Nektar Therapeutics,Healthcare,Biotechnology
NL,NL Industries Inc.,Services,Industrial Equipment Wholesale
NLP,NTS Realty Holdings LP,Financial,Real Estate Development
NLS,Nautilus Inc.,Consumer Goods,Sporting Goods
NLNK,NewLink Genetics Corporation,Healthcare,Biotechnology
NLSN,Nielsen Holdings N.V.,Technology,Information & Delivery Services
NLST,Netlist Inc.,Technology,Semiconductor- Memory Chips
NLY,"Annaly Capital Management, Inc.",Financial,REIT - Diversified
NMRX,Numerex Corp.,Technology,Communication Equipment
NNBR,NN Inc.,Industrial Goods,Machine Tools & Accessories
NNI,"Nelnet, Inc.",Financial,Credit Services
NNN,"National Retail Properties, Inc.",Financial,REIT - Diversified
NOBH,Nobility Homes Inc.,Industrial Goods,Manufactured Housing
NOR,Noranda Aluminum Holding Corp.,Basic Materials,Aluminum
NOC,Northrop Grumman Corporation,Industrial Goods,Aerospace/Defense - Major Diversified
NOV,"National Oilwell Varco, Inc.",Basic Materials,Oil & Gas Equipment & Services
NOVB,North Valley Bancorp,Financial,Regional - Pacific Banks
NOW,"ServiceNow, Inc.",Technology,Information Technology Services
NP,"Neenah Paper, Inc.",Consumer Goods,Paper & Paper Products
NPBC,National Penn Bancshares Inc.,Financial,Regional - Northeast Banks
NPK,National Presto Industries Inc.,Consumer Goods,Appliances
NPO,"EnPro Industries, Inc.",Industrial Goods,Industrial Equipment & Components
NPSP,"NPS Pharmaceuticals, Inc.",Healthcare,Biotechnology
NPTN,NeoPhotonics Corporation,Technology,Semiconductor - Broad Line
