,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
92,2016-03-21,235.33999599999999,239.88000499999998,215.0,227.75,227.75,19533500,227.4400025,original/TSLA
93,2016-03-28,231.61000099999998,247.899994,225.0,237.58999599999999,237.58999599999999,35974000,236.449997,original/TSLA
94,2016-04-04,249.11999500000002,269.339996,240.0,250.07000699999998,250.07000699999998,51324000,254.669998,original/TSLA
95,2016-04-11,251.0,258.98999,243.63000499999998,254.50999500000003,254.50999500000003,27710500,251.30999749999998,original/TSLA
96,2016-04-18,252.229996,258.309998,241.25,253.75,253.75,22382800,249.779999,original/TSLA
97,2016-04-25,253.00999500000003,257.380005,237.809998,240.75999500000003,240.75999500000003,18032700,247.5950015,original/TSLA
98,2016-05-02,241.5,243.190002,208.110001,214.92999300000002,214.92999300000002,33348600,225.6500015,original/TSLA
99,2016-05-09,215.72000099999997,216.149994,203.66000400000001,207.610001,207.610001,20476800,209.904999,original/TSLA
100,2016-05-16,208.149994,220.55000299999998,204.020004,220.27999900000003,220.27999900000003,27283900,212.2850035,original/TSLA
101,2016-05-23,219.86999500000002,225.92999300000002,215.17999300000002,223.039993,223.039993,18948100,220.55499300000002,original/TSLA
102,2016-05-30,223.039993,224.75,216.88999900000002,218.99000499999997,218.99000499999997,10010100,220.8199995,original/TSLA
103,2016-06-06,218.0,240.850006,215.44999700000002,218.789993,218.789993,24953800,228.15000150000003,original/TSLA
104,2016-06-13,219.5,225.770004,212.52999900000003,215.47000099999997,215.47000099999997,16234600,219.15000150000003,original/TSLA
105,2016-06-20,219.5,223.75,189.729996,193.149994,193.149994,48984100,206.739998,original/TSLA
106,2016-06-27,190.860001,218.24000499999997,187.869995,216.5,216.5,29655800,203.05499999999998,original/TSLA
107,2016-07-04,209.729996,219.809998,208.0,216.77999900000003,216.77999900000003,17769700,213.904999,original/TSLA
108,2016-07-11,219.960007,227.5,219.50999500000003,220.399994,220.399994,18478200,223.5049975,original/TSLA
109,2016-07-18,219.63999900000002,229.80000299999998,218.30000299999998,222.270004,222.270004,16104100,224.05000299999998,original/TSLA
110,2016-07-25,222.270004,235.27999900000003,221.36999500000002,234.789993,234.789993,16295800,228.32499700000002,original/TSLA
111,2016-08-01,235.5,236.63000499999998,221.399994,230.02999900000003,230.02999900000003,19166500,229.0149995,original/TSLA
112,2016-08-08,228.0,231.539993,223.41000400000001,225.61000099999998,225.61000099999998,10499000,227.47499850000003,original/TSLA
113,2016-08-15,226.020004,229.5,222.289993,225.0,225.0,9462500,225.8949965,original/TSLA
114,2016-08-22,224.169998,228.49000499999997,218.82000699999998,219.99000499999997,219.99000499999997,13422100,223.65500599999996,original/TSLA
115,2016-08-29,220.149994,220.399994,196.199997,197.779999,197.779999,23623000,208.2999955,original/TSLA
116,2016-09-05,199.020004,206.5,193.699997,194.470001,194.470001,15158500,200.0999985,original/TSLA
117,2016-09-12,195.0,205.699997,193.449997,205.399994,205.399994,15744100,199.574997,original/TSLA
118,2016-09-19,207.0,210.17999300000002,201.559998,207.449997,207.449997,12629100,205.86999550000002,original/TSLA
119,2016-09-26,206.5,211.0,199.550003,204.029999,204.029999,13169300,205.2750015,original/TSLA
120,2016-10-03,212.30000299999998,215.669998,195.800003,196.610001,196.610001,19615300,205.7350005,original/TSLA
121,2016-10-10,201.350006,204.139999,196.300003,196.509995,196.509995,14366700,200.220001,original/TSLA
122,2016-10-17,197.050003,206.66000400000001,192.0,200.08999599999999,200.08999599999999,25230600,199.330002,original/TSLA
123,2016-10-24,201.0,213.69999700000002,199.830002,199.970001,199.970001,28203200,206.76499950000002,original/TSLA
124,2016-10-31,202.490005,202.490005,185.96000700000002,190.559998,190.559998,23804700,194.225006,original/TSLA
125,2016-11-07,193.58999599999999,197.490005,180.419998,188.559998,188.559998,26033400,188.95500149999998,original/TSLA
126,2016-11-14,188.0,193.0,178.190002,185.020004,185.020004,23972000,185.595001,original/TSLA
127,2016-11-21,185.03999299999998,197.240005,183.71000700000002,196.649994,196.649994,17215800,190.475006,original/TSLA
128,2016-11-28,195.479996,199.350006,180.0,181.470001,181.470001,21684300,189.675003,original/TSLA
129,2016-12-05,182.509995,193.83999599999999,182.509995,192.179993,192.179993,18842300,188.1749955,original/TSLA
130,2016-12-12,192.800003,203.0,191.179993,202.490005,202.490005,20413100,197.08999649999998,original/TSLA
131,2016-12-19,202.490005,213.44999700000002,199.83999599999999,213.33999599999999,213.33999599999999,21158800,206.6449965,original/TSLA
132,2016-12-26,214.88000499999998,223.80000299999998,211.67999300000002,213.690002,213.690002,18376700,217.739998,original/TSLA
133,2017-01-02,214.86000099999998,230.309998,210.960007,229.00999500000003,229.00999500000003,28576400,220.63500249999998,original/TSLA
134,2017-01-09,228.97000099999997,237.850006,225.580002,237.75,237.75,21151000,231.71500400000002,original/TSLA
135,2017-01-16,236.69999700000002,248.67999300000002,234.36999500000002,244.729996,244.729996,20317500,241.52499400000002,original/TSLA
136,2017-01-23,245.850006,258.459991,245.5,252.94999700000002,252.94999700000002,22689400,251.9799955,original/TSLA
137,2017-01-30,252.52999900000003,255.88999900000002,247.100006,251.330002,251.330002,16562500,251.4950025,original/TSLA
138,2017-02-06,251.0,271.179993,250.63000499999998,269.230011,269.230011,23180200,260.904999,original/TSLA
139,2017-02-13,270.73999,287.390015,264.149994,272.230011,272.230011,32641300,275.7700045,original/TSLA
140,2017-02-20,275.450012,283.450012,250.19999700000002,257.0,257.0,37518500,266.82500450000003,original/TSLA
141,2017-02-27,248.169998,254.850006,242.00999500000003,251.57000699999998,251.57000699999998,28619600,248.4300005,original/TSLA
142,2017-03-06,247.91000400000001,253.88999900000002,243.0,243.690002,243.690002,17485800,248.4449995,original/TSLA
143,2017-03-13,244.82000699999998,265.75,242.77999900000003,261.5,261.5,29581500,254.26499950000002,original/TSLA
144,2017-03-20,260.600006,264.799988,250.24000499999997,263.160004,263.160004,23549700,257.5199965,original/TSLA
145,2017-03-27,260.600006,282.0,259.75,278.299988,278.299988,25337600,270.875,original/TSLA
146,2017-04-03,286.899994,304.880005,284.579987,302.540009,302.540009,42004300,294.729996,original/TSLA
147,2017-04-10,309.149994,313.730011,295.299988,304.0,304.0,28724400,304.5149995,original/TSLA
148,2017-04-17,302.700012,309.149994,297.899994,305.600006,305.600006,21731600,303.524994,original/TSLA
149,2017-04-24,309.22000099999997,314.799988,305.859985,314.070007,314.070007,24448200,310.3299865,original/TSLA
150,2017-05-01,314.880005,327.660004,290.76001,308.350006,308.350006,43675100,309.210007,original/TSLA
151,2017-05-08,310.899994,327.0,305.820007,324.809998,324.809998,31300000,316.4100035,original/TSLA
152,2017-05-15,318.380005,320.200012,305.309998,310.829987,310.829987,28827800,312.755005,original/TSLA
153,2017-05-22,312.799988,325.48999,303.480011,325.140015,325.140015,26497100,314.48500049999996,original/TSLA
154,2017-05-29,326.0,344.880005,325.76001,339.850006,339.850006,30944500,335.3200075,original/TSLA
155,2017-06-05,338.5,376.869995,334.209991,357.320007,357.320007,53540400,355.539993,original/TSLA
156,2017-06-12,357.98999,384.25,350.619995,371.399994,371.399994,52301500,367.4349975,original/TSLA
157,2017-06-19,375.0,386.98999,367.799988,383.450012,383.450012,32886800,377.394989,original/TSLA
158,2017-06-26,386.690002,386.950012,354.100006,361.609985,361.609985,33972500,370.525009,original/TSLA
159,2017-07-03,370.23999,371.350006,306.299988,313.22000099999997,313.22000099999997,56853500,338.824997,original/TSLA
160,2017-07-10,312.899994,333.100006,303.130005,327.77999900000003,327.77999900000003,49946100,318.1150055,original/TSLA
161,2017-07-17,325.540009,331.649994,313.450012,328.399994,328.399994,32675400,322.550003,original/TSLA
162,2017-07-24,330.23999,347.5,326.290009,335.070007,335.070007,33629900,336.8950045,original/TSLA
163,2017-07-31,335.5,357.269989,311.22000099999997,356.910004,356.910004,52733600,334.244995,original/TSLA
164,2017-08-07,357.350006,370.0,352.75,357.869995,357.869995,32125100,361.375,original/TSLA
165,2017-08-14,364.630005,367.660004,345.799988,347.459991,347.459991,21437500,356.729996,original/TSLA
166,2017-08-21,345.820007,356.660004,331.850006,348.049988,348.049988,23840600,344.255005,original/TSLA
167,2017-08-28,347.27999900000003,358.440002,338.75,355.399994,355.399994,18372900,348.595001,original/TSLA
168,2017-09-04,353.799988,355.48999,341.559998,343.399994,343.399994,15429200,348.524994,original/TSLA
169,2017-09-11,351.350006,380.0,350.0,379.809998,379.809998,30448200,365.0,original/TSLA
170,2017-09-18,380.25,389.609985,350.880005,351.089996,351.089996,31336600,370.244995,original/TSLA
171,2017-09-25,353.149994,357.47000099999997,335.399994,341.100006,341.100006,31249200,346.4349975,original/TSLA
172,2017-10-02,342.519989,360.100006,331.27999900000003,356.880005,356.880005,32073100,345.6900025,original/TSLA
173,2017-10-09,349.649994,359.77999900000003,342.670013,355.570007,355.570007,26600500,351.225006,original/TSLA
174,2017-10-16,353.76001,363.0,344.339996,345.100006,345.100006,23600100,353.66999799999996,original/TSLA
175,2017-10-23,349.880005,349.950012,316.660004,320.869995,320.869995,30836300,333.30500800000004,original/TSLA
176,2017-10-30,319.179993,332.609985,292.630005,306.089996,306.089996,47069400,312.619995,original/TSLA
177,2017-11-06,307.0,308.359985,296.299988,302.98999,302.98999,26566200,302.3299865,original/TSLA
178,2017-11-13,300.130005,326.670013,299.109985,315.049988,315.049988,38796900,312.889999,original/TSLA
179,2017-11-20,313.790009,318.230011,304.75,315.549988,315.549988,23670700,311.4900055,original/TSLA
180,2017-11-27,313.25,320.0,301.230011,306.52999900000003,306.52999900000003,26917300,310.6150055,original/TSLA
181,2017-12-04,306.5,318.630005,300.0,315.130005,315.130005,25926000,309.3150025,original/TSLA
182,2017-12-11,314.630005,347.440002,313.75,343.450012,343.450012,35625800,330.595001,original/TSLA
183,2017-12-18,344.899994,346.730011,324.820007,325.200012,325.200012,26856000,335.77500899999995,original/TSLA
184,2017-12-25,323.829987,323.940002,309.540009,311.350006,311.350006,17184000,316.7400055,original/TSLA
185,2018-01-01,312.0,325.25,305.679993,316.579987,316.579987,23411200,315.4649965,original/TSLA
186,2018-01-08,316.0,344.809998,315.5,336.22000099999997,336.22000099999997,32786500,330.154999,original/TSLA
187,2018-01-15,337.540009,352.299988,334.799988,350.019989,350.019989,24132100,343.549988,original/TSLA
188,2018-01-22,349.399994,360.5,335.709991,342.850006,342.850006,28243000,348.1049955,original/TSLA
189,2018-01-29,339.850006,359.660004,338.27999900000003,343.75,343.75,23581400,348.9700015,original/TSLA
190,2018-02-05,337.97000099999997,348.619995,294.76001,310.420013,310.420013,39770000,321.6900025,original/TSLA
191,2018-02-12,316.130005,343.119995,306.25,335.48999,335.48999,26294200,324.6849975,original/TSLA
192,2018-02-19,334.47000099999997,354.98999,331.5,352.049988,352.049988,20016200,343.244995,original/TSLA
193,2018-02-26,353.5,359.98999,322.97000099999997,335.119995,335.119995,27185500,341.4799955,original/TSLA
194,2018-03-05,332.390015,337.75,321.73999,327.170013,327.170013,22189800,329.744995,original/TSLA
195,2018-03-12,328.609985,347.209991,319.070007,321.350006,321.350006,34879300,333.139999,original/TSLA
196,2018-03-19,316.5,322.440002,300.450012,301.540009,301.540009,29801700,311.44500700000003,original/TSLA
197,2018-03-26,307.339996,307.589996,248.210007,266.130005,266.130005,58419300,277.9000015,original/TSLA
198,2018-04-02,256.26001,309.27999900000003,244.58999599999999,299.299988,299.299988,87496500,276.9349975,original/TSLA
199,2018-04-09,300.369995,309.5,289.209991,300.339996,300.339996,43658500,299.3549955,original/TSLA
200,2018-04-16,299.0,301.01001,282.51001,290.23999,290.23999,31614700,291.76001,original/TSLA
201,2018-04-23,291.290009,294.47000099999997,276.5,294.079987,294.079987,23312900,285.48500049999996,original/TSLA
202,2018-04-30,293.609985,306.850006,275.230011,294.089996,294.089996,43745700,291.0400085,original/TSLA
203,2018-05-07,297.5,312.98999,295.170013,301.059998,301.059998,30666800,304.0800015,original/TSLA
204,2018-05-14,303.320007,304.940002,274.0,276.820007,276.820007,34152500,289.470001,original/TSLA
205,2018-05-21,281.329987,291.48999,273.420013,278.850006,278.850006,32133300,282.4550015,original/TSLA
206,2018-05-28,278.51001,295.01001,276.149994,291.820007,291.820007,24500400,285.58000200000004,original/TSLA
207,2018-06-04,294.339996,330.0,286.73999,317.660004,317.660004,52110800,308.369995,original/TSLA
208,2018-06-11,322.51001,364.670013,322.5,358.170013,358.170013,66830000,343.58500649999996,original/TSLA
209,2018-06-18,355.399994,373.730011,332.0,333.630005,333.630005,51452000,352.8650055,original/TSLA
210,2018-06-25,330.119995,357.019989,325.799988,342.950012,342.950012,37607900,341.4099885,original/TSLA
211,2018-07-02,360.070007,364.77999900000003,296.22000099999997,308.899994,308.899994,57384300,330.5,original/TSLA
212,2018-07-09,311.98999,327.679993,308.0,318.869995,318.869995,33543400,317.8399965,original/TSLA
213,2018-07-16,311.709991,325.5,306.25,313.579987,313.579987,31516600,315.875,original/TSLA
214,2018-07-23,301.839996,310.700012,292.549988,297.179993,297.179993,37992900,301.625,original/TSLA
215,2018-07-30,295.899994,355.0,286.130005,348.170013,348.170013,58891900,320.5650025,original/TSLA
216,2018-08-06,345.459991,387.459991,339.149994,355.48999,355.48999,92667000,363.3049925,original/TSLA
217,2018-08-13,361.130005,363.190002,303.52999900000003,305.5,305.5,51560500,333.3600005,original/TSLA
218,2018-08-20,291.700012,327.320007,288.200012,322.820007,322.820007,45270400,307.7600095,original/TSLA
219,2018-08-27,318.0,322.440002,297.72000099999997,301.660004,301.660004,40767600,310.0800015,original/TSLA
220,2018-09-03,296.940002,298.190002,252.25,263.23999,263.23999,46044000,275.220001,original/TSLA
221,2018-09-10,273.26001,297.329987,271.0,295.200012,295.200012,46574800,284.16499350000004,original/TSLA
222,2018-09-17,290.040009,305.980011,275.5,299.100006,299.100006,44129900,290.7400055,original/TSLA
223,2018-09-24,298.480011,314.959991,260.559998,264.769989,264.769989,59326700,287.7599945,original/TSLA
224,2018-10-01,305.769989,316.839996,260.0,261.950012,261.950012,69274800,288.41999799999996,original/TSLA
225,2018-10-08,264.519989,267.76001,247.770004,258.77999900000003,258.77999900000003,53717700,257.765007,original/TSLA
226,2018-10-15,259.059998,282.700012,253.5,260.0,260.0,39178600,268.100006,original/TSLA
227,2018-10-22,260.679993,339.899994,252.58999599999999,330.899994,330.899994,92952600,296.244995,original/TSLA
228,2018-10-29,337.47000099999997,349.200012,322.26001,346.410004,346.410004,47045100,335.730011,original/TSLA
229,2018-11-05,340.5,357.579987,330.140015,350.51001,350.51001,34157900,343.860001,original/TSLA
230,2018-11-12,348.369995,355.700012,330.339996,354.309998,354.309998,29262300,343.020004,original/TSLA
231,2018-11-19,356.339996,366.75,325.549988,325.829987,325.829987,26603000,346.149994,original/TSLA
232,2018-11-26,325.0,351.600006,325.0,350.480011,350.480011,27187800,338.300003,original/TSLA
233,2018-12-03,360.0,379.48999,350.76001,357.97000099999997,357.97000099999997,36122100,365.125,original/TSLA
234,2018-12-10,360.0,377.869995,353.119995,365.709991,365.709991,31652800,365.494995,original/TSLA
235,2018-12-17,362.0,365.700012,311.869995,319.769989,319.769989,40136900,338.7850035,original/TSLA
236,2018-12-24,313.5,336.23999,294.089996,333.869995,333.869995,32237100,315.164993,original/TSLA
